Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-7.6363462784593,13.2674754324928,0.189882215868279,0,0,0,139.592927487695,0.0718448286204054,-0.00144581311013746,-0.000450491456620577,30495.9579404736,-1.37561240877077E-07,30495.9613779575,0,0,0,0,0,0,package://9_axis/meshes/base_link.STL,0.749019607843137,0.749019607843137,0.749019607843137,1,0,0,0,0,0,0,package://9_axis/meshes/base_link.STL,,9_axis.STEP-1/16#.stp.STEP-1/16#-BASE.stp.STEP-1/Product3046513dfghj.stp.STEP-1/Copy (1) of Copy (1) of HGR65_temp-1.stp.STEP-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_01,-11.170896628338,7.35022646647284,3.70138836356233,0,0,0,6671.43699211194,71801.1150658574,-0.000275933137035324,-0.0221733289672927,743.223509157629,0.00397707975149331,71976.645259892,0,0,0,0,0,0,package://9_axis/meshes/link_01.STL,1,1,1,1,0,0,0,0,0,0,package://9_axis/meshes/link_01.STL,,9_axis.STEP-1/16#.stp.STEP-1/15# Xbus.stp.STEP-1/15# Yguding.stp.STEP-1/Symmetry of MIR.stp.STEP-1/Symmetry of 14#-Part1.stp.STEP-1;9_axis.STEP-1/16#.stp.STEP-1/15# Xbus.stp.STEP-1/15# Yguding.stp.STEP-1/Copy (2) of Part23.stp.STEP-1;9_axis.STEP-1/16#.stp.STEP-1/15# Xbus.stp.STEP-1/15# Yguding.stp.STEP-1/Product1.stp.STEP-1/HGH35CA2R11500Z0CII_GW202504032951.stp.STEP-1/HGR35_temp-2.stp.STEP-1;9_axis.STEP-1/16#.stp.STEP-1/15# Xbus.stp.STEP-1/15# Yguding.stp.STEP-1/Product1.stp.STEP-1/Copy (1) of M4 ____.stp.STEP-1;9_axis.STEP-1/16#.stp.STEP-1/15# Xbus.stp.STEP-1/15# Yguding.stp.STEP-1/Product1.stp.STEP-1/HGH35CA2R11500Z0CII_GW202504032951.stp.STEP-1/HGR35_temp-1.stp.STEP-1;9_axis.STEP-1/16#.stp.STEP-1/15# Xbus.stp.STEP-1/15# Yguding.stp.STEP-1/MIR.stp.STEP-1/14#-Part1.stp.STEP-1;9_axis.STEP-1/16#.stp.STEP-1/15# Xbus.stp.STEP-1/15# Yguding.stp.STEP-1/Symmetry of MIR.stp.STEP-1/Symmetry of Part21.stp.STEP-1;9_axis.STEP-1/16#.stp.STEP-1/15# Xbus.stp.STEP-1/15# Yguding.stp.STEP-1/MIR.stp.STEP-1/Part21.stp.STEP-1;9_axis.STEP-1/16#.stp.STEP-1/15# Xbus.stp.STEP-1/15# Yguding.stp.STEP-1/MIR.stp.STEP-1/AF180-38____ __38__80____180__8__4-__13.5-__215.stp.STEP-1,Origin_pris01,,pris01,prismatic,0,0,0,0,0,0,base_link,0,0,0,0,0,0,0,,,,,,,,
link_02,-10.1182799564004,11.4807341899315,4.05525907141845,0,0,0,40.148559695801,3.50908475657513,-0.000572217823650541,-0.00072569738282989,2.39803866900882,-1.15244160141528E-07,1.20787043727926,0,0,0,0,0,0,package://9_axis/meshes/link_02.STL,1,1,1,1,0,0,0,0,0,0,package://9_axis/meshes/link_02.STL,,9_axis.STEP-1/16#.stp.STEP-1/15# Xbus.stp.STEP-1/15#-Y1-jiqirenhanjie11.stp.STEP-1/15#-Y1-jiqirenhanjie11-Zguding.stp.STEP-1/14#YBASE.stp.STEP-1;9_axis.STEP-1/16#.stp.STEP-1/15# Xbus.stp.STEP-1/15#-Y1-jiqirenhanjie11.stp.STEP-1/15#-Y1-jiqirenhanjie11-Zguding.stp.STEP-1/Yslaver.stp.STEP-1/ghjdjtyjeyj.stp.STEP-1;9_axis.STEP-1/16#.stp.STEP-1/15# Xbus.stp.STEP-1/15#-Y1-jiqirenhanjie11.stp.STEP-1/15#-Y1-jiqirenhanjie11-Zguding.stp.STEP-1/Zslaver.stp.STEP-1/sdv123.stp.STEP-1;9_axis.STEP-1/16#.stp.STEP-1/15# Xbus.stp.STEP-1/15#-Y1-jiqirenhanjie11.stp.STEP-1/15#-Y1-jiqirenhanjie11-Zguding.stp.STEP-1/Yslaver.stp.STEP-1/5pasf.stp.STEP-1;9_axis.STEP-1/16#.stp.STEP-1/15# Xbus.stp.STEP-1/15#-Y1-jiqirenhanjie11.stp.STEP-1/15#-Y1-jiqirenhanjie11-Zguding.stp.STEP-1/Zslaver.stp.STEP-1/455345fddfb.stp.STEP-1;9_axis.STEP-1/16#.stp.STEP-1/15# Xbus.stp.STEP-1/15#-Y1-jiqirenhanjie11.stp.STEP-1/15#-Y1-jiqirenhanjie11-Zguding.stp.STEP-1/Zslaver.stp.STEP-1/sdfggdfv.stp.STEP-1,Origin_pris02,,pris02,prismatic,0,0,0,0,0,0,link_01,0,0,0,0,0,0,0,,,,,,,,
link_03,-10.0101635288307,11.2872845086796,4.31198477472196,0,0,0,241.92854140384,324.34375572915,-4.45378052502678E-07,-8.02551938519573E-05,323.367190485032,2.88253358991836E-06,2.53813839890082,0,0,0,0,0,0,package://9_axis/meshes/link_03.STL,1,1,1,1,0,0,0,0,0,0,package://9_axis/meshes/link_03.STL,,9_axis.STEP-1/16#.stp.STEP-1/15# Xbus.stp.STEP-1/15#-Y1-jiqirenhanjie11.stp.STEP-1/15#-Y1-jiqirenhanjie11-Z.stp.STEP-1/Copy (1) of 14#Z1.stp.STEP-1,Origin_pris03,,pris03,prismatic,0,0,0,0,0,0,link_02,0,0,0,0,0,0,0,,,,,,,,
robobase,0.0950099640293525,0.0193018603113084,6.42677565654282E-05,0,0,0,0.01020659156849,6.54871543122799E-07,5.13593702269097E-12,1.79044345006516E-08,1.00221533773361E-06,-2.73185958975219E-12,1.01641339340869E-06,0,0,0,0,0,0,package://9_axis/meshes/robobase.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://9_axis/meshes/robobase.STL,,9_axis.STEP-1/16#.stp.STEP-1/15# Xbus.stp.STEP-1/15#-Y1-jiqirenhanjie11.stp.STEP-1/15#-Y1-jiqirenhanjie11-Z.stp.STEP-1/Zu 5.stp.STEP-1/Zu 5 00.stp.STEP-1,Origin_robobase,,robobase,fixed,-10.008,11.286,2.3119,-1.5708,0,0,link_03,0,0,0,,,,,,,,,,,,
link04,0.0033230639349755,0.0786392617097165,4.13631295437256E-07,0,0,0,1.92823617150848,0.00548960651649897,1.91545474382076E-06,-1.90081615278266E-08,0.00388881643509275,2.90322917310115E-08,0.00564361725298448,0,0,0,0,0,0,package://9_axis/meshes/link04.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://9_axis/meshes/link04.STL,,9_axis.STEP-1/16#.stp.STEP-1/15# Xbus.stp.STEP-1/15#-Y1-jiqirenhanjie11.stp.STEP-1/15#-Y1-jiqirenhanjie11-Z.stp.STEP-1/Zu 5.stp.STEP-1/Zu 5 01.stp.STEP-1,Origin_revo04,,revo04,revolute,0,0.04,0,0,-1.4243,0,robobase,0,0,0,0,0,0,0,,,,,,,,
link05,0.222148556768643,0.073537446232776,0.15479131712338,0,0,0,5.84083453552761,0.0132171810008111,-6.09567673958129E-08,-5.11934248942011E-08,0.0270807470057436,2.05479797822174E-09,0.0305886493526465,0,0,0,0,0,0,package://9_axis/meshes/link05.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://9_axis/meshes/link05.STL,,9_axis.STEP-1/16#.stp.STEP-1/15# Xbus.stp.STEP-1/15#-Y1-jiqirenhanjie11.stp.STEP-1/15#-Y1-jiqirenhanjie11-Z.stp.STEP-1/Zu 5.stp.STEP-1/Zu 5 02.stp.STEP-1,Origin_revo05,,revo05,revolute,0.069608,-0.059809,0.066504,3.1416,-1.0811,1.5708,link04,0,0,0,0,0,0,0,,,,,,,,
link06,-0.15169717835692,0.0644128050642196,0.104446432382426,0,0,0,2.29995595587404,0.00252153220006866,-0.00207432114007246,1.0499547837509E-07,0.0210556491022763,4.22014224060003E-09,0.0214832704573129,0,0,0,0,0,0,package://9_axis/meshes/link06.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://9_axis/meshes/link06.STL,,9_axis.STEP-1/16#.stp.STEP-1/15# Xbus.stp.STEP-1/15#-Y1-jiqirenhanjie11.stp.STEP-1/15#-Y1-jiqirenhanjie11-Z.stp.STEP-1/Zu 5.stp.STEP-1/Zu 5 03.stp.STEP-1,Origin_revo06,,revo06,revolute,0.789,0.0054421,0.22086,3.1416,0.1104,0,link05,0,0,0,0,0,0,0,,,,,,,,
link07,-0.00267898503476793,0.0620493907507766,-2.2140552502492E-08,0,0,0,0.705512031731609,0.000871771296250808,5.06670488717111E-05,9.84359715063485E-10,0.000657546695586088,-1.0092280811378E-09,0.000902374896278752,0,0,0,0,0,0,package://9_axis/meshes/link07.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://9_axis/meshes/link07.STL,,9_axis.STEP-1/16#.stp.STEP-1/15# Xbus.stp.STEP-1/15#-Y1-jiqirenhanjie11.stp.STEP-1/15#-Y1-jiqirenhanjie11-Z.stp.STEP-1/Zu 5.stp.STEP-1/Zu 5 04.stp.STEP-1,Origin_revo07,,revo07,revolute,0.070737,-0.03895,0.053171,2.2874,0,-1.5708,link06,0,0,0,0,0,0,0,,,,,,,,
link08,0.00234241919628553,0.070889825113265,-1.40248275215527E-08,0,0,0,0.806930641656115,0.00160862424887114,5.47667195125539E-06,1.36141246281124E-08,0.000744704708603701,4.4048055647845E-09,0.00164585276340227,0,0,0,0,0,0,package://9_axis/meshes/link08.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://9_axis/meshes/link08.STL,,9_axis.STEP-1/16#.stp.STEP-1/15# Xbus.stp.STEP-1/15#-Y1-jiqirenhanjie11.stp.STEP-1/15#-Y1-jiqirenhanjie11-Z.stp.STEP-1/Zu 5.stp.STEP-1/Zu 5 05.stp.STEP-1,Origin_revo08,,revo08,revolute,0.0094486,-0.0455,-0.06734,1.4314,0,1.5708,link07,0,0,0,0,0,0,0,,,,,,,,
link09,-0.167828850559557,0.0212450091151526,-0.00874598611022415,0,0,0,0.180491791710468,9.1057607270466E-05,7.91956343043322E-09,4.08124110973887E-07,0.000143815554284323,2.17196359730559E-07,9.20409156614399E-05,0,0,0,0,0,0,package://9_axis/meshes/link09.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://9_axis/meshes/link09.STL,,9_axis.STEP-1/16#.stp.STEP-1/15# Xbus.stp.STEP-1/15#-Y1-jiqirenhanjie11.stp.STEP-1/15#-Y1-jiqirenhanjie11-Z.stp.STEP-1/Zu 5.stp.STEP-1/Zu 5 06.stp.STEP-1,Origin_revo09,,revo09,revolute,-0.041459,-0.039,-0.16284,3.1416,1.2693,3.1416,link08,0,0,0,0,0,0,0,,,,,,,,
